error_magnitude,q_error_sign,v_error_sign,protection,independent_instances,objective_degradation_percent_n,objective_degradation_percent_mean,objective_degradation_percent_std,objective_degradation_percent_ci95_low,objective_degradation_percent_ci95_high,strategy_change_rate_n,strategy_change_rate_mean,strategy_change_rate_std,strategy_change_rate_ci95_low,strategy_change_rate_ci95_high,true_workload_violation_n,true_workload_violation_mean,true_workload_violation_std,true_workload_violation_ci95_low,true_workload_violation_ci95_high,true_memory_violation_n,true_memory_violation_mean,true_memory_violation_std,true_memory_violation_ci95_low,true_memory_violation_ci95_high
0.05,1,1,fixed_margin,50,50,0.01789645558729172,0.027422628620355192,0.010103030763959572,0.02568988041062387,50,0.0148,0.0126555626230572,0.011203328897997853,0.018396671102002146,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.05,1,1,no_margin,50,50,-7.485088494648198e-05,0.017830590226932563,-0.005142248559073609,0.004992546789180645,50,0.0128,0.014574229422693543,0.008658049826797149,0.016941950173202852,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.1,-1,-1,conservative_quantization,50,50,0.03032800124368217,0.16430215224056233,-0.01636615377426633,0.07702215626163067,50,0.015600000000000001,0.016182631152578623,0.011000947112789919,0.020199052887210085,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.1,-1,-1,fixed_margin,50,50,0.0008800849984121639,0.007276128414180828,-0.001187767817081159,0.0029479378139054867,50,0.0054,0.010730463976122241,0.002350435879975853,0.008449564120024147,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.1,-1,-1,no_margin,50,50,0.009923537779116759,0.0160028182482119,0.005375587153905252,0.014471488404328266,50,0.0126,0.012747148540688124,0.008977300468199454,0.016222699531800548,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.1,-1,1,conservative_quantization,50,50,0.3700193355776047,0.7776180816949169,0.14902272198328775,0.5910159491719216,50,0.029800000000000004,0.03139543707910045,0.020877515505205613,0.038722484494794394,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.1,-1,1,fixed_margin,50,50,0.14602441568149463,0.4300618893740305,0.023802179052842723,0.26824665231014655,50,0.0136,0.017351115943644545,0.008668867409474396,0.018531132590525603,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.1,-1,1,no_margin,50,50,0.008580126000933597,0.01952353629922721,0.003031598376536486,0.014128653625330709,50,0.0132,0.012361890087305106,0.009686789709204054,0.016713210290795946,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.1,1,-1,conservative_quantization,50,50,0.015403144282343352,0.024946411577388646,0.00831345255614723,0.022492836008539477,50,0.013199999999999998,0.012525891552447413,0.009640181008513918,0.01675981899148608,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.1,1,-1,fixed_margin,50,50,0.034905818414744605,0.029518423574275796,0.0265167752557444,0.043294861573744806,50,0.017799999999999996,0.01568698927943349,0.013341806974589775,0.022258193025410218,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.1,1,-1,no_margin,50,50,0.009077386780589086,0.021785083744861898,0.0028861344835881967,0.015268639077589977,50,0.0148,0.01487910464719033,0.010571405246676609,0.019028594753323393,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.1,1,1,conservative_quantization,50,50,0.10539549718573266,0.3139711847206251,0.01616587377186207,0.19462512059960324,50,0.0136,0.011385633625812156,0.010364238725717739,0.01683576127428226,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.1,1,1,fixed_margin,50,50,0.02897047767942266,0.03262538523611766,0.019698445785981213,0.038242509572864104,50,0.0184,0.013149066856004404,0.014663076546820425,0.022136923453179573,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.1,1,1,no_margin,50,50,0.01010734677451764,0.022042505334265276,0.003842936071271598,0.016371757477763683,50,0.013600000000000001,0.011911236334671903,0.010214864088619763,0.01698513591138024,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.2,-1,-1,conservative_quantization,50,50,0.01971195095158794,0.020745152404390642,0.013816243871480439,0.02560765803169544,50,0.013399999999999999,0.010421719862765416,0.010438179986144679,0.01636182001385532,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.2,-1,-1,fixed_margin,50,50,0.012722357747463083,0.018231407972387936,0.007541048930450652,0.017903666564475514,50,0.011,0.010926470386270253,0.007894731474554781,0.014105268525445218,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.2,-1,-1,no_margin,50,50,0.029976667114825602,0.028979375014315596,0.02174081986152559,0.038212514368125616,50,0.0158,0.013261883388885913,0.012031014442927571,0.01956898555707243,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.2,-1,1,conservative_quantization,50,50,0.45373397410550764,0.861790718662606,0.20881576176618982,0.6986521864448254,50,0.036800000000000006,0.03291547616894781,0.027445525175640403,0.04615447482435961,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.2,-1,1,fixed_margin,50,50,0.625570641574762,1.1012586672197773,0.31259639126348293,0.9385448918860412,50,0.0446,0.042098523896755745,0.032635731887530176,0.056564268112469826,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.2,-1,1,no_margin,50,50,0.3490468107330746,0.7705583408799583,0.13005655327898372,0.5680370681871655,50,0.028000000000000004,0.026572964625340395,0.020448047012278998,0.03555195298772101,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.2,1,-1,conservative_quantization,50,50,0.037948948695311555,0.03675174010657825,0.02750421972302572,0.04839367766759739,50,0.017200000000000003,0.014291427429028343,0.013138421264124726,0.02126157873587528,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.2,1,-1,fixed_margin,50,50,0.07678358210380382,0.052279578755745605,0.06192589021477955,0.09164127399282808,50,0.0202,0.011691615694634358,0.016877279583920393,0.023522720416079605,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.2,1,-1,no_margin,50,50,0.027872699959224576,0.023177296554435373,0.02128578515956203,0.03445961475888712,50,0.015200000000000002,0.013130428906372638,0.011468373393498663,0.018931626606501342,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.2,1,1,conservative_quantization,50,50,0.07433711537508597,0.19755888167231433,0.01819150242856126,0.13048272832161067,50,0.0188,0.014090089149643374,0.014795640970016852,0.02280435902998315,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.2,1,1,fixed_margin,50,50,0.12479055841812006,0.23627180521293634,0.05764285433430397,0.19193826250193616,50,0.021400000000000002,0.014570027943889273,0.017259243873861758,0.025540756126138247,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.2,1,1,no_margin,50,50,0.030078517695384645,0.02626375845061136,0.022614440130221493,0.0375425952605478,50,0.0176,0.012545427657200084,0.014034628908974577,0.021165371091025426,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.3,-1,-1,conservative_quantization,50,50,0.05924128634932508,0.0492770097845497,0.04523691512032374,0.07324565757832642,50,0.019,0.011473127431577865,0.01573937326124377,0.02226062673875623,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
