workload_capacity_fraction,memory_available_gb_config,memory_mode,independent_instances,public_objective_J_n,public_objective_J_mean,public_objective_J_std,public_objective_J_ci95_low,public_objective_J_ci95_high,quantized_oracle_gap_percent_n,quantized_oracle_gap_percent_mean,quantized_oracle_gap_percent_std,quantized_oracle_gap_percent_ci95_low,quantized_oracle_gap_percent_ci95_high,offload_rate_n,offload_rate_mean,offload_rate_std,offload_rate_ci95_low,offload_rate_ci95_high,workload_utilization_n,workload_utilization_mean,workload_utilization_std,workload_utilization_ci95_low,workload_utilization_ci95_high,memory_utilization_n,memory_utilization_mean,memory_utilization_std,memory_utilization_ci95_low,memory_utilization_ci95_high,true_workload_violation_n,true_workload_violation_mean,true_workload_violation_std,true_workload_violation_ci95_low,true_workload_violation_ci95_high,true_memory_violation_n,true_memory_violation_mean,true_memory_violation_std,true_memory_violation_ci95_low,true_memory_violation_ci95_high,barrier_penalty_n,barrier_penalty_mean,barrier_penalty_std,barrier_penalty_ci95_low,barrier_penalty_ci95_high,rejections_workload_n,rejections_workload_mean,rejections_workload_std,rejections_workload_ci95_low,rejections_workload_ci95_high,rejections_memory_n,rejections_memory_mean,rejections_memory_std,rejections_memory_ci95_low,rejections_memory_ci95_high,rejections_cost_n,rejections_cost_mean,rejections_cost_std,rejections_cost_ci95_low,rejections_cost_ci95_high
0.4,3.0,soft,50,50,250.05746178861452,13.956288283000209,246.09112854419396,254.02379503303507,0,,,,,50,0.0862,0.009452350965527581,0.08351367157855503,0.08888632842144496,50,0.307041600986558,0.02599383830411003,0.2996542338782655,0.31442896809485055,50,0.6895416666666665,0.051749867861629814,0.6748345169480717,0.7042488163852613,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.9648845632196218,0.5174871902260167,0.8178163309980673,1.1119527954411763,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,91.38,0.9452350965527582,91.1113671578555,91.6486328421445
0.4,5.0,hard,50,50,248.15435995821176,13.36580647815709,244.35583978595506,251.95288013046846,50,0.022098022642002387,0.034137468194625056,0.012396261526504457,0.03179978375750032,50,0.12180000000000002,0.015211435011268357,0.1174769580022199,0.12612304199778013,50,0.4424027923067832,0.04735245365072778,0.4289453738792391,0.4558602107343273,50,0.59059,0.05592683266773564,0.5746957700179937,0.6064842299820062,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,87.82,1.521143501126836,87.38769580022198,88.25230419977801
0.4,5.0,none,50,50,248.1506601215423,13.349394784425565,244.35680410103745,251.94451614204715,0,,,,,50,0.12220000000000003,0.01542460266415115,0.11781637642557721,0.12658362357442285,50,0.44298059305963006,0.04573438767397967,0.42998302389466236,0.45597816222459775,50,0.591045,0.05496644825412566,0.5754237082484088,0.6066662917515913,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,87.78,1.542460266415115,87.34163764255771,88.21836235744229
0.4,5.0,soft,50,50,248.25896744538633,13.389179197090662,244.45380481990432,252.06413007086834,0,,,,,50,0.11419999999999998,0.014298565648058438,0.11013639260472251,0.11826360739527746,50,0.4127555701207624,0.042650978965797205,0.40063429601486833,0.4248768442266565,50,0.5515249999999999,0.05016112431811261,0.5372693662006619,0.565780633799338,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.4310281306314524,0.25863562791796546,0.357524698458003,0.5045315628049017,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,88.58,1.4298565648058434,88.17363926047226,88.98636073952774
0.4,13.0,hard,50,50,248.1506601215423,13.349394784425565,244.35680410103745,251.94451614204715,50,0.020982117107089814,0.028148253973167624,0.01298247184022039,0.02898176237395924,50,0.12220000000000003,0.01542460266415115,0.11781637642557721,0.12658362357442285,50,0.44298059305963006,0.04573438767397967,0.42998302389466236,0.45597816222459775,50,0.22732499999999994,0.021140941636202188,0.22131681086477253,0.23333318913522735,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,87.78,1.542460266415115,87.34163764255771,88.21836235744229
0.4,13.0,none,50,50,248.1506601215423,13.349394784425565,244.35680410103745,251.94451614204715,0,,,,,50,0.12220000000000003,0.01542460266415115,0.11781637642557721,0.12658362357442285,50,0.44298059305963006,0.04573438767397967,0.42998302389466236,0.45597816222459775,50,0.22732499999999994,0.021140941636202188,0.22131681086477253,0.23333318913522735,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,87.78,1.542460266415115,87.34163764255771,88.21836235744229
0.4,13.0,soft,50,50,248.14871723711155,13.351462669596662,244.35427353014356,251.94316094407955,0,,,,,50,0.12180000000000002,0.015477435847328304,0.11740136140105242,0.12619863859894762,50,0.4422191717199645,0.04724856365980039,0.4287912785011594,0.4556470649387696,50,0.22702499999999998,0.021744530745613708,0.22084527273786633,0.23320472726213362,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.03117036051815841,0.009649820248916313,0.02842791194731737,0.03391280908899945,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,87.82,1.5477435847328307,87.38013614010524,88.25986385989475
0.6,1.5,hard,50,50,255.1396963246548,16.29259288121184,250.50939265994228,259.7699999893673,50,0.9449539099655471,0.54308209346164,0.7906116867277109,1.0992961332033833,50,0.0622,0.006157789160643519,0.06044997568373942,0.06395002431626058,50,0.14206356274903092,0.007645844779816573,0.13989063770499863,0.14423648779306322,50,0.9598333333333335,0.033977199904916905,0.9501771199618063,0.9694895467048608,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,93.76,0.6246631745450127,93.58247269005034,93.93752730994967,50,0.02,0.14142135623730948,-0.020191504742584774,0.06019150474258478
0.6,1.5,none,50,50,246.52902326143894,13.206453812171212,242.7757906157703,250.28225590710758,0,,,,,50,0.1462,0.018940292866731257,0.14081722832510676,0.15158277167489323,50,0.354673751907647,0.036496543558802795,0.3443015489917723,0.3650459548235217,50,2.3525666666666667,0.21043476483089268,2.2927617682147434,2.41237156511859,50,0.0,0.0,0.0,0.0,50,1.0,0.0,1.0,1.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,85.38,1.8940292866731259,84.84172283251067,85.91827716748932
0.6,1.5,soft,50,50,255.68653546673167,15.847738271458931,251.1826580832637,260.1904128501996,0,,,,,50,0.0496,0.005329930887479322,0.04808525040176881,0.05111474959823119,50,0.1159469172305772,0.00965521412743288,0.11320293573642283,0.11869089872473158,50,0.7810833333333334,0.051059702838620755,0.7665723263440509,0.7955943403226158,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,1.1417499775483055,0.5344954916367742,0.9898480395484901,1.293651915548121,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,95.04,0.5329930887479323,94.88852504017689,95.19147495982313
0.6,2.0,hard,50,50,253.64517074818426,16.047627489846153,249.08448547740315,258.2058560189654,50,1.2428217719238537,0.6987430775083643,1.0442411864965675,1.4414023573511399,50,0.08259999999999999,0.006942915931555921,0.08062684512428059,0.0845731548757194,50,0.19264276697832997,0.00850454617818496,0.19022580169707157,0.19505973225958836,50,0.9642750000000001,0.026743824387270083,0.9566744892052079,0.9718755107947923,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,91.7,0.6776309271789385,91.5074194213091,91.89258057869091,50,0.04,0.28284271247461895,-0.04038300948516955,0.12038300948516956
0.6,2.0,none,50,50,246.52902326143894,13.206453812171212,242.7757906157703,250.28225590710758,0,,,,,50,0.1462,0.018940292866731257,0.14081722832510676,0.15158277167489323,50,0.354673751907647,0.036496543558802795,0.3443015489917723,0.3650459548235217,50,1.764425,0.15782607362316953,1.7195713261610577,1.8092786738389421,50,0.0,0.0,0.0,0.0,50,1.0,0.0,1.0,1.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,85.38,1.8940292866731259,84.84172283251067,85.91827716748932
0.6,2.0,soft,50,50,252.82938083987668,14.89395171313141,248.5965665970995,257.0621950826539,0,,,,,50,0.0636,0.006928203230275511,0.061631026427720344,0.06556897357227966,50,0.14915948420223188,0.012402104005291426,0.14563484524239706,0.1526841231620667,50,0.755625,0.050886434431817604,0.7411632353470878,0.7700867646529121,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,1.2036072886928935,0.6302960053266742,1.0244791459475329,1.382735431438254,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,93.64,0.6928203230275509,93.44310264277203,93.83689735722797
0.6,3.0,hard,50,50,251.97182819363218,15.671553791370577,247.51802188539247,256.42563450187185,50,1.6330591556579206,1.0161920919050533,1.3442605585588767,1.9218577527569645,50,0.1234,0.006262945776223711,0.12162009050425696,0.12517990949574304,50,0.2961958598381555,0.010750071527441967,0.29314072331370233,0.29925099636260866,50,0.9777083333333333,0.01927546942762558,0.9722303055337981,0.9831863611328685,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,87.52,0.762380803664362,87.30333377290827,87.73666622709172,50,0.14,0.5349041493385445,-0.01201807723363263,0.29201807723363266
0.6,3.0,none,50,50,246.52902326143894,13.206453812171212,242.7757906157703,250.28225590710758,0,,,,,50,0.1462,0.018940292866731257,0.14081722832510676,0.15158277167489323,50,0.354673751907647,0.036496543558802795,0.3443015489917723,0.3650459548235217,50,1.1762833333333331,0.10521738241544638,1.1463808841073715,1.2061857825592948,50,0.0,0.0,0.0,0.0,50,0.96,0.19794866372215741,0.9037436122205812,1.0162563877794188,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,85.38,1.8940292866731259,84.84172283251067,85.91827716748932
