factor,value,distance_layer,independent_instances,offload_rate_n,offload_rate_mean,offload_rate_std,offload_rate_ci95_low,offload_rate_ci95_high,mean_end_to_end_delay_seconds_n,mean_end_to_end_delay_seconds_mean,mean_end_to_end_delay_seconds_std,mean_end_to_end_delay_seconds_ci95_low,mean_end_to_end_delay_seconds_ci95_high,mean_service_quality_n,mean_service_quality_mean,mean_service_quality_std,mean_service_quality_ci95_low,mean_service_quality_ci95_high
downlink_power_w,0.5,middle,50,50,0.11222259358288769,0.05425799782721646,0.09680264121489864,0.12764254595087676,50,44.76423558006647,6.6631538486715645,42.87058820858974,46.6578829515432,50,0.02808712809925372,0.002851956745047058,0.027276610960301508,0.02889764523820593
downlink_power_w,0.5,near,50,50,0.2303743315508021,0.06022052016075325,0.2132598490847988,0.24748881401680536,50,41.152679901971524,5.677068068702195,39.539275008411146,42.7660847955319,50,0.02975721952417145,0.003066601076327058,0.02888570114121948,0.03062873790712342
downlink_power_w,1.0,far,50,50,0.08579322638146163,0.04938740381904368,0.07175748151499162,0.09982897124793164,50,45.411186349309816,8.797979981376866,42.91082810388813,47.9115445947315,50,0.02839002602118538,0.003110829595136628,0.027505938032264494,0.029274114010106263
downlink_power_w,1.0,middle,50,50,0.12322860962566845,0.057929966084241856,0.10676509542555264,0.13969212382578428,50,44.34727127117204,6.476480476783088,42.5066758849908,46.18786665735328,50,0.02821163872782682,0.0029124101102909515,0.02738394093256816,0.02903933652308548
downlink_power_w,1.0,near,50,50,0.22798573975044562,0.054359299032263594,0.21253699789852423,0.243434481602367,50,41.09917247153207,5.51247637921767,39.532544018563925,42.66580092450022,50,0.02968008924794569,0.0030433212172606204,0.028815186927736786,0.030544991568154597
downlink_power_w,2.0,far,50,50,0.09893048128342244,0.04954281119944216,0.08485057012812235,0.11301039243872253,50,44.82387624751941,8.667531059642718,42.36059117545738,47.287161319581436,50,0.028511604617534908,0.0030653065857907252,0.02764045412472283,0.029382755110346985
downlink_power_w,2.0,middle,50,50,0.13289215686274508,0.05829393995765952,0.11632520243232136,0.1494591112931688,50,43.96652750665469,6.209423622543597,42.2018288386869,45.731226174622485,50,0.028325884249414176,0.0029154822528847345,0.02749731336089073,0.029154455137937622
downlink_power_w,2.0,near,50,50,0.2303743315508021,0.057446040906838844,0.21404834736439943,0.24670031573720475,50,40.972557875882096,5.513441737647693,39.40565507108371,42.539460680680484,50,0.02970253968069418,0.003087480550904083,0.028825087416723016,0.030579991944665347
image_payload_mb,0.1,far,50,50,0.16960784313725483,0.05758274840830383,0.15324300710881314,0.18597267916569651,50,43.66456605456038,8.599991201624563,41.22047559776774,46.108656511353026,50,0.02981339452589415,0.0032096248073306445,0.028901229248329694,0.030725559803458608
image_payload_mb,0.1,middle,50,50,0.1836430481283422,0.05778642929651489,0.16722032663194636,0.20006576962473804,50,43.30247500811197,6.027511829663358,41.58947509965833,45.01547491656561,50,0.029342335276703664,0.0031448697050905357,0.02844857319557315,0.03023609735783418
image_payload_mb,0.1,near,50,50,0.2427807486631016,0.04791532791945294,0.22916336313834632,0.2563981341878569,50,42.09149508230096,6.646253453122999,40.20265075009576,43.980339414506155,50,0.030437806036883005,0.002856949875073732,0.029625869866078132,0.031249742207687878
image_payload_mb,0.5,far,50,50,0.08579322638146163,0.04938740381904368,0.07175748151499162,0.09982897124793164,50,45.411186349309816,8.797979981376866,42.91082810388813,47.9115445947315,50,0.02839002602118538,0.003110829595136628,0.027505938032264494,0.029274114010106263
