config_hash,task_pool_id,wireless_index,wireless_seed,resource_scenario,workload_capacity_fraction,memory_available_gb_config,algorithm_seed,algorithm,strategy_bits
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,8,20291505,moderate,0.6,5.0,20263737,lagrangian_relaxation,0000100000100001001000000011000000000001011000000110000001000000000000010010010000100100011000001001
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,8,20291505,moderate,0.6,5.0,20263737,legacy_count_br,0000101001100001001010000011000000000001001100000110000001000000000010000001010000000100011000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,8,20291505,moderate,0.6,5.0,20263737,random_feasible,0000000000100000000001010010000000100000101000000110000001100000011000100010000001010000000001000010
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,8,20291505,moderate,0.6,5.0,20263737,all_local,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,8,20291505,moderate,0.6,5.0,20263737,all_offload,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,8,20291505,moderate,0.6,5.0,20263737,qdp_oracle,0000100000000000001000000011000000000001010000000110000001000000000000000010010000000000011000001001
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,8,20291505,highly_constrained,0.3,2.0,20263737,wa_mcbr,0000100000100000000000000001000000000001000000000010000001000000000000000000010000001000001000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,8,20291505,highly_constrained,0.3,2.0,20263737,wa_mcbr_swap,0000100000000000001000000001000000000001000000000110000001000000000000000000010000000000010000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,8,20291505,highly_constrained,0.3,2.0,20263737,capacity_greedy,0100000000000000001000000001000000001010000000000110000000000000000000000000000000000000000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,8,20291505,highly_constrained,0.3,2.0,20263737,lagrangian_relaxation,0000100000000000001000000001000000000000000000000110000001000000000000000000010000000000010000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,8,20291505,highly_constrained,0.3,2.0,20263737,legacy_count_br,0000100000100000000000000001000000000001000000000010000001000000000000000000010000001000001000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,8,20291505,highly_constrained,0.3,2.0,20263737,random_feasible,0000000000100000000000000010000000000000001000000110000001000000000000000010000000000000000000000010
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,8,20291505,highly_constrained,0.3,2.0,20263737,all_local,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,8,20291505,highly_constrained,0.3,2.0,20263737,all_offload,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,8,20291505,highly_constrained,0.3,2.0,20263737,qdp_oracle,0000100000000000001000000001000000000001000000000100000001000000000000000000010000000000010000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,abundant,1.0,13.0,20263738,wa_mcbr,0000100000100000001100001011000000000001010000000110000010010000000000000011000000000000000001000011
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,abundant,1.0,13.0,20263738,wa_mcbr_swap,0000100000100000001100001011000000000001010000000110000010010000000000000011000000000000000001000011
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,abundant,1.0,13.0,20263738,capacity_greedy,0000100000100000001100000001000000000001010000000110000010010000000100000010000000000000000001000011
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,abundant,1.0,13.0,20263738,lagrangian_relaxation,0000100000000000001100000001000000000000000000000000000001010000000100000000000000001000000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,abundant,1.0,13.0,20263738,legacy_count_br,0000101001100000001110111011000000000001011000000110000011010000000000010011000000011000100001000011
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,abundant,1.0,13.0,20263738,random_feasible,1010101101000010010111100010010010110000101100110110100010010000111111100101110100111101001000011100
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,abundant,1.0,13.0,20263738,all_local,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,abundant,1.0,13.0,20263738,all_offload,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,abundant,1.0,13.0,20263738,qdp_oracle,0000100000100000001100001011000000000001010000000110000010010000000000000011000000000000000001000011
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,moderate,0.6,5.0,20263738,wa_mcbr,0000100001100000001100000011000000000001010000000110000000010000000000000000000000000000000001000011
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,moderate,0.6,5.0,20263738,wa_mcbr_swap,0000100000100000001100000001000000000001010000000110000011010000000000000010000000000000000001000010
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,moderate,0.6,5.0,20263738,capacity_greedy,0000100000000000001100000001000000000001010000000110000000010000000100000010000000000000000001000010
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,moderate,0.6,5.0,20263738,lagrangian_relaxation,0000100000100000001110001011000000000001011000000100000011010000000000000011000000001000000001000011
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,moderate,0.6,5.0,20263738,legacy_count_br,0001001001000000000110010010000000000001010010000000000011010000000000010010010000111000110000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,moderate,0.6,5.0,20263738,random_feasible,0000101101000000000110100010000000000000001000000110000010010000000000000001010000111001000000000100
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,moderate,0.6,5.0,20263738,all_local,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,moderate,0.6,5.0,20263738,all_offload,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,moderate,0.6,5.0,20263738,qdp_oracle,0000100000100000001100000001000000000001010000000110000011010000000000000010000000000000000001000010
