config_hash,task_pool_id,wireless_index,wireless_seed,resource_scenario,workload_capacity_fraction,memory_available_gb_config,algorithm_seed,algorithm,strategy_bits,strategy_feasible_estimated,quantized_oracle_objective,quantized_oracle_gap_percent,runtime_seconds,updates,changes,swaps,full_single_flip_pass,signaling_payload_bytes,signaling_header_bytes,signaling_total_bytes,n_nodes,k_offload,offload_rate,decision_objective,public_objective_J,barrier_penalty,estimated_workload,true_workload,workload_capacity,workload_limit,workload_utilization,estimated_memory_gb,true_memory_gb,memory_available_gb,memory_utilization,estimated_workload_violation,estimated_memory_violation,true_workload_violation,true_memory_violation,total_end_to_end_delay_seconds,mean_end_to_end_delay_seconds,total_device_energy_j,mean_tx_time_ms_offloaded,mean_tx_energy_mj_offloaded,queue_delay_ms_per_offloaded_task,raw_strategy_quantized_feasible,raw_strategy_quantized_objective,quantized_projected_strategy_bits,quantized_projection_change_rate,projected_strategy_quantized_objective
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,highly_constrained,0.3,2.0,20261729,capacity_greedy,0000000001000000001000000000000000010000000000000010110000000000000000000000010000000000000010000000,1,233.95784667482812,0.2534283077495756,0.007783166016452,0,0,0,,0,0,0,100,8,0.08,233.6214119608792,233.6214119608792,0.0,7.281553398058253,7.281553398058253,18.947368421052634,18.0,0.384304207119741,1.9825,1.9825,2.0,0.99125,0,0,0,0,4270.713027911107,42.70713027911107,7740.649921636399,663.0838108331496,81.2402045498474,176.04467805519053,0,inf,0000000001000000001000000000000000010000000000000010100000000000000000000000010000000000000000000000,0.02,234.55076208650348
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,highly_constrained,0.3,2.0,20261729,lagrangian_relaxation,0000000001000000001000000000000000010000000000000010010000000000000000100000000000000000001100000000,1,233.95784667482812,0.11577311371243255,0.0082040419802069,300,0,0,True,0,0,0,100,8,0.08,233.52265324066173,233.52265324066173,0.0,7.038834951456311,7.038834951456311,18.947368421052634,18.0,0.3714940668824164,1.93375,1.93375,2.0,0.966875,0,0,0,0,4342.085250961842,43.42085250961841,8075.078235021066,292.8876510711822,34.779377633184254,167.76871915897874,0,inf,0000000001000000001000000000000000010000000000000010010000000000000000000000000000000000001100000000,0.01,234.22870695869813
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,highly_constrained,0.3,2.0,20261729,legacy_count_br,0010000000000000001000000000000000000000000000001010010000000000000000101000000000000000000100000000,1,233.95784667482812,0.5535978878320701,0.00159854197409,100,0,0,True,0,0,0,100,8,0.08,234.41401288362815,234.41401288362815,0.0,7.524271844660195,7.524271844660195,18.947368421052634,18.0,0.3971143473570658,1.9825,1.9825,2.0,0.99125,0,0,0,0,4338.3887907488825,43.38388790748883,8053.575296746699,413.9265107988274,46.91209333741886,184.67233281145153,0,inf,0000000000000000001000000000000000000000000000000010010000000000000000101000000000000000000100000000,0.02,235.25303237243736
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,highly_constrained,0.3,2.0,20261729,random_feasible,0011000001000000000000000000000000000000000000000000010000000000000000011000000000000000000101000000,1,233.95784667482812,0.8510612994565556,0.0004836668958887,0,0,0,,0,0,0,100,8,0.08,235.65519947907904,235.65519947907904,0.0,7.524271844660195,7.524271844660195,18.947368421052634,18.0,0.3971143473570658,1.93375,1.93375,2.0,0.966875,0,0,0,0,4378.067841058213,43.780678410582134,8233.5000734793,373.80779946531686,37.50918491259824,184.67233281145153,0,inf,0011000001000000000000000000000000000000000000000000010000000000000000011000000000000000000100000000,0.01,235.9489713649195
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,highly_constrained,0.3,2.0,20261729,all_local,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,233.95784667482812,4.087126574755185,0.0,0,0,0,,0,0,0,100,0,0.0,243.52,243.52,0.0,0.0,0.0,18.947368421052634,18.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,4579.199999999999,45.79199999999999,9158.399999999998,0.0,0.0,0.0,1,243.52,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,243.52
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,highly_constrained,0.3,2.0,20261729,all_offload,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0,233.95784667482812,0.11577311371243255,0.0,0,0,0,,0,0,0,100,100,1.0,inf,inf,0.0,99.99999999999996,99.99999999999996,18.947368421052634,18.0,5.277777777777776,26.812499999999993,26.812499999999993,2.0,13.406249999999996,1,1,1,1,inf,inf,122.23048136173882,10540.485602391183,1222.3048136173882,inf,0,inf,0000000001000000001000000000000000010000000000000010010000000000000000000000000000000000001100000000,0.93,234.22870695869813
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,highly_constrained,0.3,2.0,20261729,qdp_oracle,0000000001000000001000000000000000010000000000000010100000000000000000000000010000000000000100000000,1,233.95784667482812,1.2148218080458997e-14,0.2162072920473292,0,0,0,,0,0,0,100,7,0.07,233.86848808335432,233.86848808335432,0.0,6.067961165048544,6.067961165048544,18.947368421052634,18.0,0.3202535059331176,1.69,1.69,2.0,0.845,0,0,0,0,4310.7114387856645,43.10711438785665,7927.65410481924,592.4213710015567,64.87211703416585,137.78416980757785,1,233.95784667482815,0000000001000000001000000000000000010000000000000010100000000000000000000000010000000000000100000000,0.0,233.95784667482815
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,20270826,abundant,1.0,13.0,20261730,wa_mcbr,0010010001100000001000000000000000010000000010101000000100000000000010110000001000000000001101000000,1,229.6911239522308,-2.4747764686209563e-14,0.0339635839918628,718,70,0,True,27284,57440,84724,100,17,0.17,229.59898389142276,229.59898389142276,0.0,15.533980582524272,15.533980582524272,63.15789473684211,60.0,0.2459546925566343,4.07875,4.07875,13.0,0.31375,0,0,0,0,4201.063820826773,42.01063820826773,7413.265676975054,478.6796901383599,50.92217500318306,101.5450643776824,1,229.69112395223075,0010010001100000001000000000000000010000000010101000000100000000000010110000001000000000001101000000,0.0,229.69112395223075
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,20270826,abundant,1.0,13.0,20261730,wa_mcbr_swap,0010010001100000001000000000000000010000000010101000000100000000000010110000001000000000001101000000,1,229.6911239522308,-2.4747764686209563e-14,0.0481764170108363,718,70,0,True,27284,57440,84724,100,17,0.17,229.59898389142276,229.59898389142276,0.0,15.533980582524272,15.533980582524272,63.15789473684211,60.0,0.2459546925566343,4.07875,4.07875,13.0,0.31375,0,0,0,0,4201.063820826773,42.01063820826773,7413.265676975054,478.6796901383599,50.92217500318306,101.5450643776824,1,229.69112395223075,0010010001100000001000000000000000010000000010101000000100000000000010110000001000000000001101000000,0.0,229.69112395223075
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,20270826,abundant,1.0,13.0,20261730,capacity_greedy,0010010001000000001001000000000000010000000010101000000100000000000010110000001000000000001101000000,1,229.6911239522308,0.30248734647647996,0.0165234999731183,0,0,0,,0,0,0,100,17,0.17,230.28573173190995,230.28573173190995,0.0,15.776699029126211,15.776699029126211,63.15789473684211,60.0,0.2497977346278317,4.16,4.16,13.0,0.32,0,0,0,0,4175.759581415336,41.757595814153355,7291.052340986371,588.4966214054481,61.90241096299442,103.24346184955512,1,230.38591053816592,0010010001000000001001000000000000010000000010101000000100000000000010110000001000000000001101000000,0.0,230.38591053816592
