config_hash,n_nodes,wireless_index,wireless_seed,algorithm,updates,changes,runtime_seconds,signaling_total_bytes,full_single_flip_pass,k_offload,offload_rate,decision_objective,public_objective_J,barrier_penalty,estimated_workload,true_workload,workload_capacity,workload_limit,workload_utilization,estimated_memory_gb,true_memory_gb,memory_available_gb,memory_utilization,estimated_workload_violation,estimated_memory_violation,true_workload_violation,true_memory_violation,total_end_to_end_delay_seconds,mean_end_to_end_delay_seconds,total_device_energy_j,mean_tx_time_ms_offloaded,mean_tx_energy_mj_offloaded,queue_delay_ms_per_offloaded_task
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,0,21660729,legacy_count_br,172,26,0.001242874888703227,0,False,19,0.38,116.88449154038375,116.88449154038375,0.0,17.47572815533981,17.47572815533981,60.0,57.0,0.29126213592233013,4.5825000000000005,4.5825000000000005,13.0,0.35250000000000004,0,0,0,0,1794.0234356793337,35.88046871358667,2773.371349260692,667.9674149901448,72.17627687849286,122.73972602739728
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,1,21660826,wa_mcbr,383,39,0.018748958013020456,45194,True,13,0.26,114.19822638735579,114.19822638735579,0.0,11.650485436893202,11.650485436893202,60.0,57.0,0.19417475728155337,3.0712499999999996,3.0712499999999996,13.0,0.23624999999999996,0,0,0,0,1836.2001503963706,36.724003007927415,2995.9293169848224,504.38598971154346,56.1013065247732,80.24096385542168
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,1,21660826,legacy_count_br,244,24,0.001783750019967556,0,False,18,0.36,115.84385521833424,115.84385521833424,0.0,16.262135922330096,16.262135922330096,60.0,57.0,0.2710355987055016,4.290000000000001,4.290000000000001,13.0,0.33000000000000007,0,0,0,0,1770.3947616396688,35.40789523279338,2668.987980784251,697.8678158429807,77.1100435694712,112.9522752497225
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,2,21660923,wa_mcbr,334,33,0.01612150005530566,39412,True,15,0.3,113.04644055373295,113.04644055373295,0.0,13.592233009708737,13.592233009708737,60.0,57.0,0.22653721682847897,3.5587499999999994,3.5587499999999994,13.0,0.27374999999999994,0,0,0,0,1800.331639178626,36.00663278357252,2826.826291556901,528.8875212528716,55.08610379338376,93.22175732217573
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,2,21660923,legacy_count_br,142,24,0.0010566250421106815,0,False,20,0.4,114.63790935353043,114.63790935353043,0.0,18.446601941747577,18.446601941747577,60.0,57.0,0.30744336569579295,4.777500000000002,4.777500000000002,13.0,0.3675000000000001,0,0,0,0,1745.3512693957746,34.90702538791549,2550.1764923143064,666.5821613775147,68.82461571530968,130.98130841121497
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,3,21661020,wa_mcbr,495,43,0.02342029195278883,58410,True,16,0.32,112.47452027005413,112.47452027005413,0.0,14.563106796116505,14.563106796116505,60.0,57.0,0.24271844660194175,3.88375,3.88375,13.0,0.29875,0,0,0,0,1782.5063548419184,35.65012709683837,2744.098063441614,519.0189724916899,56.1289651008665,100.12820512820514
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,3,21661020,legacy_count_br,236,25,0.0017020839732140303,0,False,22,0.44,114.82424678622871,114.82424678622871,0.0,20.14563106796117,20.14563106796117,60.0,57.0,0.33576051779935284,5.346250000000002,5.346250000000002,13.0,0.41125000000000017,0,0,0,0,1695.677905043537,33.913558100870745,2312.929044236571,720.8072218327867,78.59291984411347,146.37028014616325
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,4,21661117,wa_mcbr,253,35,0.012331041973084211,29854,True,14,0.28,114.52455387894493,114.52455387894493,0.0,12.864077669902912,12.864077669902912,60.0,57.0,0.21440129449838186,3.4449999999999994,3.4449999999999994,13.0,0.26499999999999996,0,0,0,0,1813.3220410944527,36.266440821889056,2884.5111865839554,591.9171621828049,65.08475599674875,88.22863027806385
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,4,21661117,legacy_count_br,229,32,0.0015865829773247242,0,False,19,0.38,116.39789929416916,116.39789929416916,0.0,17.47572815533981,17.47572815533981,60.0,57.0,0.29126213592233013,4.615000000000001,4.615000000000001,13.0,0.3550000000000001,0,0,0,0,1753.9936201995022,35.079872403990045,2586.3330123594324,750.6087055253371,80.6848610227151,122.73972602739728
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,5,21661214,wa_mcbr,284,41,0.014100915985181928,33512,True,14,0.28,112.92515624355595,112.92515624355595,0.0,12.864077669902912,12.864077669902912,60.0,57.0,0.21440129449838186,3.3149999999999995,3.3149999999999995,13.0,0.25499999999999995,0,0,0,0,1820.4853565994126,36.409707131988256,2923.866975506381,475.01112682282667,47.64110759861819,88.22863027806385
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,5,21661214,legacy_count_br,132,21,0.001032250002026558,0,False,20,0.4,116.69636070742308,116.69636070742308,0.0,18.446601941747577,18.446601941747577,60.0,57.0,0.30744336569579295,4.777500000000002,4.777500000000002,13.0,0.3675000000000001,0,0,0,0,1757.650222385503,35.15300444771006,2600.7662872861124,721.5298108639245,78.31436430559533,130.98130841121497
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,6,21661311,wa_mcbr,319,37,0.015639750054106116,37642,True,16,0.32,111.01360387281952,111.01360387281952,0.0,15.04854368932039,15.04854368932039,60.0,57.0,0.25080906148867316,3.9325,3.9325,13.0,0.3025,0,0,0,0,1759.8265664459382,35.196531328918766,2643.2521548427126,497.9670983355043,53.25967766956604,103.69330453563715
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,6,21661311,legacy_count_br,145,24,0.0010755419498309493,0,False,21,0.42,113.13418501424076,113.13418501424076,0.0,19.902912621359228,19.902912621359228,60.0,57.0,0.3317152103559871,5.183750000000002,5.183750000000002,13.0,0.3987500000000001,0,0,0,0,1687.8734995303448,33.75746999060689,2283.934893829475,697.5032060454671,73.09018235593845,144.09200968523004
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,7,21661408,wa_mcbr,474,41,0.02253004105295986,55932,True,14,0.28,113.48939471166283,113.48939471166283,0.0,13.349514563106794,13.349514563106794,60.0,57.0,0.22249190938511323,3.4449999999999994,3.4449999999999994,13.0,0.26499999999999996,0,0,0,0,1806.6098109891755,36.13219621978351,2855.594741756007,566.3035796489773,56.767268286150035,91.54006243496357
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,7,21661408,legacy_count_br,233,22,0.0016980409855023026,0,False,19,0.38,114.84255439968557,114.84255439968557,0.0,17.71844660194175,17.71844660194175,60.0,57.0,0.2953074433656958,4.615000000000001,4.615000000000001,13.0,0.3550000000000001,0,0,0,0,1723.8135794358532,34.47627158871706,2449.5001001234937,760.1605951192131,78.95263807858115,124.7646383467279
