config_hash,task_pool_id,wireless_index,error_magnitude,q_error_sign,v_error_sign,protection,strategy_change_rate,true_public_objective_J,baseline_true_public_objective_J,objective_degradation_percent,updates,runtime_seconds,n_nodes,k_offload,offload_rate,decision_objective,public_objective_J,barrier_penalty,estimated_workload,true_workload,workload_capacity,workload_limit,workload_utilization,estimated_memory_gb,true_memory_gb,memory_available_gb,memory_utilization,estimated_workload_violation,estimated_memory_violation,true_workload_violation,true_memory_violation,total_end_to_end_delay_seconds,mean_end_to_end_delay_seconds,total_device_energy_j,mean_tx_time_ms_offloaded,mean_tx_energy_mj_offloaded,queue_delay_ms_per_offloaded_task
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.2,1,1,conservative_quantization,0.04,230.40286114347208,230.05564188002108,0.15092838437410608,634,0.05136979091912508,100,13,0.13,231.00097728080115,231.00097728080115,0.0,14.999999999999998,12.135922330097085,37.89473684210527,36.0,0.32025350593311747,4.1,3.2337499999999997,5.0,0.6467499999999999,0,0,0,0,4227.714950162964,42.27714950162964,7542.658846680538,455.6735350357234,50.680513887473595,137.7841698075778
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.3,-1,-1,no_margin,0.02,230.21002011940627,230.05564188002108,0.06710473958543164,947,0.0675612079212442,100,17,0.17,228.88391808628504,228.88391808628504,0.0,11.213592233009708,16.019417475728158,37.89473684210527,36.0,0.4227346278317152,2.9461249999999994,4.20875,5.0,0.84175,0,0,0,0,4176.287646010115,41.762876460101154,7294.487565125588,472.6674989255288,52.209713269832854,203.07638402242466
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.3,-1,-1,fixed_margin,0.02,230.21002011940627,230.05564188002108,0.06710473958543164,896,0.05672537500504404,100,17,0.17,229.14873817422594,229.14873817422594,0.0,12.334951456310678,16.019417475728158,37.89473684210527,36.0,0.4227346278317152,3.2407375,4.20875,5.0,0.84175,0,0,0,0,4176.287646010115,41.762876460101154,7294.487565125588,472.6674989255288,52.209713269832854,203.07638402242466
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.3,-1,-1,conservative_quantization,0.02,230.21002011940627,230.05564188002108,0.06710473958543164,709,0.05885829194448888,100,17,0.17,229.04330774206775,229.04330774206775,0.0,11.9,16.019417475728158,37.89473684210527,36.0,0.4227346278317152,3.6000000000000005,4.20875,5.0,0.84175,0,0,0,0,4176.287646010115,41.762876460101154,7294.487565125588,472.6674989255288,52.209713269832854,203.07638402242466
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.3,-1,1,no_margin,0.12,232.15229827192258,230.05564188002108,0.9113692560493436,456,0.029097125050611794,100,15,0.15,231.25364903351283,231.25364903351283,0.0,9.854368932038833,14.07766990291262,37.89473684210527,36.0,0.3714940668824163,4.732000000000001,3.6399999999999992,5.0,0.7279999999999999,0,0,0,0,4224.868178892537,42.24868178892537,7517.670655353059,530.1098736768266,58.043690203933345,167.76871915897868
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.3,-1,1,fixed_margin,0.13,232.66728866391387,230.05564188002108,1.135223966928318,456,0.03106362500693649,100,14,0.14,232.06650428876262,232.06650428876262,0.0,10.279126213592232,13.349514563106794,37.89473684210527,36.0,0.35227885652642926,4.92635,3.4449999999999994,5.0,0.6889999999999998,0,0,0,0,4249.467006800088,42.49467006800088,7632.799512173461,520.2462068465054,57.10801239010544,155.96856458832096
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.3,-1,1,conservative_quantization,0.15,232.8329167185089,230.05564188002108,1.2072187475133607,100,0.010255750035867095,100,12,0.12,232.39522579964242,232.39522579964242,0.0,8.4,11.407766990291261,37.89473684210527,36.0,0.30103829557713047,4.800000000000001,2.9574999999999996,5.0,0.5914999999999999,0,0,0,0,4281.748021752113,42.81748021752114,7787.443906437775,484.6617593016145,53.65886981453299,127.67338670782286
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.3,1,-1,no_margin,0.04,230.39084234475655,230.05564188002108,0.14570408358438733,942,0.07470879098400474,100,13,0.13,231.17785883380418,231.17785883380418,0.0,15.776699029126215,12.135922330097086,37.89473684210527,36.0,0.3202535059331175,2.2636249999999998,3.2337499999999997,5.0,0.6467499999999999,0,0,0,0,4240.697695474531,42.40697695474532,7603.797279500748,408.1924051564126,45.944576980635794,137.78416980757783
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.3,1,-1,fixed_margin,0.07,230.58867998007625,230.05564188002108,0.2316996426165267,923,0.07505512505304068,100,12,0.12,231.51983522919818,231.51983522919818,0.0,15.966019417475732,11.16504854368932,37.89473684210527,36.0,0.29463322545846815,2.3023,2.9899999999999998,5.0,0.598,0,0,0,0,4222.170677778306,42.221706777783055,7517.490024236792,523.1309414757399,57.50201973264462,124.42554004970368
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.3,1,-1,conservative_quantization,0.05,230.57668763351583,230.05564188002108,0.2264868399821653,942,0.061139833997003734,100,12,0.12,231.2890983942987,231.2890983942987,0.0,15.000000000000002,11.16504854368932,37.89473684210527,36.0,0.29463322545846815,2.6000000000000005,2.9899999999999993,5.0,0.5979999999999999,0,0,0,0,4226.74597254537,42.2674597254537,7539.067429624107,504.4055053978055,55.6191353422091,124.42554004970368
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.3,1,1,no_margin,0.04,230.31641347292674,230.05564188002108,0.11335153129678657,487,0.027888375101611018,100,13,0.13,231.10342996197437,231.10342996197437,0.0,15.776699029126215,12.135922330097086,37.89473684210527,36.0,0.3202535059331175,4.203875,3.2337499999999997,5.0,0.6467499999999999,0,0,0,0,4245.975278438599,42.45975278438599,7628.964857652199,383.39109470001597,43.45058863060292,137.78416980757783
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.3,1,1,fixed_margin,0.05,230.50795993890156,230.05564188002108,0.1966124608743013,607,0.0326083330437541,100,12,0.12,231.4391151880235,231.4391151880235,0.0,15.96601941747573,11.165048543689318,37.89473684210527,36.0,0.2946332254584681,4.2757000000000005,2.9899999999999998,5.0,0.598,0,0,0,0,4225.148302294987,42.25148302294987,7531.867673332444,504.5996511991856,55.639444370352,124.42554004970364
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.3,1,1,conservative_quantization,0.07,230.83701856671777,230.05564188002108,0.33964682644218447,386,0.023123917053453624,100,12,0.12,231.54942932750063,231.54942932750063,0.0,15.000000000000002,11.165048543689318,37.89473684210527,36.0,0.2946332254584681,4.800000000000001,2.9899999999999998,5.0,0.598,0,0,0,0,4215.539685411161,42.155396854111615,7485.146791190834,570.5482442137353,62.23259923620438,124.42554004970364
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,0.05,-1,-1,no_margin,0.01,230.92324906460493,230.90864468499575,0.006324743549166345,734,0.05416924995370209,100,16,0.16,230.72662978756006,230.72662978756006,0.0,13.83495145631068,14.563106796116505,37.89473684210527,36.0,0.38430420711974106,3.64325,3.835,5.0,0.767,0,0,0,0,4213.467407724117,42.13467407724117,7467.194459777844,465.6683047020844,49.65373611520364,176.04467805519053
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,0.05,-1,-1,fixed_margin,0.02,230.94647086143053,230.90864468499575,0.016381446648036577,842,0.05219637497793883,100,15,0.15,231.09743777051145,231.09743777051145,0.0,14.203883495145629,13.592233009708735,37.89473684210527,36.0,0.3586839266450916,3.7528562499999993,3.5912499999999996,5.0,0.7182499999999999,0,0,0,0,4229.92124606482,42.29921246064819,7546.319212272094,448.2596899955492,47.94748480621739,159.82338099243054
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,0.05,-1,-1,conservative_quantization,0.0,230.90864468499575,230.90864468499575,0.0,563,0.04192037496250123,100,15,0.15,230.93468966295242,230.93468966295242,0.0,13.7,13.592233009708737,37.89473684210527,36.0,0.35868392664509163,4.3,3.5912499999999996,5.0,0.7182499999999999,0,0,0,0,4229.118986470328,42.291189864703284,7542.718984107368,448.10905036274966,47.93227382444109,159.82338099243057
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,0.05,-1,1,no_margin,0.01,230.92324906460493,230.90864468499575,0.006324743549166345,904,0.06335516704712063,100,16,0.16,230.72662978756006,230.72662978756006,0.0,13.83495145631068,14.563106796116505,37.89473684210527,36.0,0.38430420711974106,4.02675,3.835,5.0,0.767,0,0,0,0,4213.467407724117,42.13467407724117,7467.194459777844,465.6683047020844,49.65373611520364,176.04467805519053
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,0.05,-1,1,fixed_margin,0.02,230.94647086143053,230.90864468499575,0.016381446648036577,402,0.024784040986560285,100,15,0.15,231.09743777051145,231.09743777051145,0.0,14.203883495145629,13.592233009708735,37.89473684210527,36.0,0.3586839266450916,4.14789375,3.5912499999999996,5.0,0.7182499999999999,0,0,0,0,4229.92124606482,42.29921246064819,7546.319212272094,448.2596899955492,47.94748480621739,159.82338099243054
